Code,ICB24CD,System,Type_1_Departments_-_Major_A&E,Type_2_Departments_-_Single_Specialty,Type_3_Departments_-_Other_A&E/Minor_Injury_Unit,Total_attendances,Type_1_Departments_-_Major_A&E,Type_2_Departments_-_Single_Specialty,Type_3_Departments_-_Other_A&E/Minor_Injury_Unit,Total_Attendances_<_4_hours,Type_1_Departments_-_Major_A&E,Type_2_Departments_-_Single_Specialty,Type_3_Departments_-_Other_A&E/Minor_Injury_Unit,Total_Attendances_>_4_hours,Percentage_in_4_hours_or_less_(all),Percentage_in_4_hours_or_less_(type_1),Percentage_in_4_hours_or_less_(type_2),Percentage_in_4_hours_or_less_(type_3),Emergency_Admissions_via_Type_1_A&E,Emergency_Admissions_via_Type_2_A&E,Emergency_Admissions_via_Type_3_and_4_A&E,Total_Emergency_Admissions_via_A&E,Other_Emergency_admissions_(i.e_not_via_A&E),Total_Emergency_Admissions,Number_of_patients_spending_>4_hours_from_decision_to_admit_to_admission,Number_of_patients_spending_>12_hours_from_decision_to_admit_to_admission
QMJ,E54000028,NHS North Central London Integrated Care Board,48395,6226,15099,69720,32799,6067,14484,53350,15596,159,615,16370,1,1,1,1,9373,4,96,9473,1241,10714,4184,2430
QRV,E54000027,NHS North West London Integrated Care Board,50762,3895,49313,103970,30788,3698,48041,82527,19974,197,1272,21443,1,1,1,1,14314,2,0,14316,1776,16092,3120,502
QPM,E54000059,NHS Northamptonshire Integrated Care Board,20460,856,9881,31197,12703,814,9725,23242,7757,42,156,7955,1,1,1,1,4018,0,0,4018,685,4703,2428,1066
QT1,E54000060,NHS Nottingham And Nottinghamshire Integrated Care Board,23859,2142,14858,40859,12002,2000,13230,27232,11857,142,1628,13627,1,1,1,1,7678,0,815,8493,4813,13306,1925,838
QKK,E54000030,NHS South East London Integrated Care Board,40998,0,37764,78762,22958,0,36465,59423,18040,0,1299,19339,1,1,-,1,9803,0,0,9803,1041,10844,4259,1329
QOC,E54000011,"NHS Shropshire, Telford And Wrekin Integrated Care Board",10459,0,5958,16417,4774,0,5634,10408,5685,0,324,6009,1,0,-,1,3138,0,162,3300,2180,5480,1884,1492
QSL,E54000038,NHS Somerset Integrated Care Board,12710,0,8427,21137,6668,0,8300,14968,6042,0,127,6169,1,1,-,1,3119,0,0,3119,1711,4830,305,100
QWE,E54000031,NHS South West London Integrated Care Board,39669,0,19624,59293,25120,0,18913,44033,14549,0,711,15260,1,1,-,1,8245,0,233,8478,1611,10089,4045,2207
QF7,E54000061,NHS South Yorkshire Integrated Care Board,45351,1245,13008,59604,30088,1167,12569,43824,15263,78,439,15780,1,1,1,1,12565,0,383,12948,5733,18681,3125,171
QNC,E54000010,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,15523,507,8663,24693,7693,507,8493,16693,7830,0,170,8000,1,0,1,1,4652,0,0,4652,1627,6279,2065,1003
QJG,E54000023,NHS Suffolk And North East Essex Integrated Care Board,20312,0,14030,34342,11031,0,13332,24363,9281,0,698,9979,1,1,-,1,8185,0,344,8529,1282,9811,2577,970
QXU,E54000063,NHS Surrey Heartlands Integrated Care Board,24982,0,9605,34587,15072,0,9478,24550,9910,0,127,10037,1,1,-,1,8186,0,0,8186,2771,10957,2256,747
QNX,E54000064,NHS Sussex Integrated Care Board,38956,1510,24381,64847,24624,1445,23992,50061,14332,65,389,14786,1,1,1,1,11237,32,51,11320,2880,14200,1547,608
QUA,E54000062,NHS Black Country Integrated Care Board,41497,1106,26082,68685,27387,950,25719,54056,14110,156,363,14629,1,1,1,1,14549,0,90,14639,4650,19289,6013,1118
QWO,E54000054,NHS West Yorkshire Integrated Care Board,66101,2241,23499,91841,46191,2241,23187,71619,19910,0,312,20222,1,1,1,1,14176,0,173,14349,4320,18669,6013,867
